,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,IPS,delay_s
75,elecNormNew,SRPMB,500,89.52359550561798,45000.0,346.2120056152344,0.029196813417190774,1292.252641713844,4,MB-LF-500,2627.0,129.97816156037965,2.627
73,elecNormNew,OBMB,500,76.56363636363636,44500.0,44.27000045776367,0.004229358463211307,163.37058233445686,4,MB-LF-500,326.0,1005.1953815192697,0.326
35,elecNormNew,OBAdwinMB,500,84.71011235955056,45000.0,61.2859992980957,0.005196272401433691,210.74475887667748,4,MB-LF-500,451.0,734.2623195408719,0.451
0,elecNormNew,OBASHTMB,500,77.71136363636364,44500.0,126.25499725341795,0.008751182360960933,372.47865507692467,4,MB-LF-500,773.0,352.46129632936413,0.773
97,elecNormNew,LBagMB,500,88.77011494252874,44000.0,92.2969970703125,0.009902500000000002,406.2093393283421,4,MB-LF-500,729.0,476.7219020839919,0.729
44,elecNormNew,ARFMB,500,88.93033707865169,45000.0,245.1580047607422,0.019642330383480823,866.7854146197833,4,MB-LF-500,1698.0,183.55509151706872,1.698
41,covtypeNorm,SRPMB,500,92.64485981308412,54000.0,599.3569946289062,0.04116437728937729,2202.142979716207,4,MB-LF-500,3855.0,90.09655428053237,3.855
25,covtypeNorm,OBMB,500,75.68065630397237,579500.0,489.6650085449219,0.002826514410131391,1617.0447480169719,4,MB-LF-500,278.0,1183.4621422552325,0.278
72,covtypeNorm,OBAdwinMB,500,86.05175202156335,186000.0,599.7940063476562,0.01166786895899799,2147.9985536847794,4,MB-LF-500,1011.0,310.10646660611934,1.011
3,covtypeNorm,OBASHTMB,500,76.5356401384083,578500.0,555.35400390625,0.0035541339143094343,2031.7522172495221,4,MB-LF-500,314.0,1041.677913422692,0.314
55,covtypeNorm,LBagMB,500,91.65454545454546,105000.0,599.427978515625,0.01737189429618001,1804.267236797626,4,MB-LF-500,1825.0,175.16699881112243,1.825
79,covtypeNorm,ARFMB,500,90.66488095238095,168500.0,599.3590087890625,0.011018025956898362,1842.2721856011285,4,MB-LF-500,1192.0,281.13367368988963,1.192
