,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,IPS,delay_s
13,elecNormNew,SRPMB,,91.28648648648648,9511.0,599.2109985351562,0.1825949607944756,1703.1524966538761,4,MB-D,1911.0,15.872539094327022,1.911
22,elecNormNew,OBMB,,76.01546961325967,45304.0,212.22999572753903,0.01417695407188609,605.8201696222478,4,MB-D,74.0,213.4665264666984,0.074
15,elecNormNew,OBAdwinMB,,84.60410882842865,45310.0,383.22601318359375,0.024872936384005184,1087.8915303122549,4,MB-D,361.0,118.23310120206568,0.361
6,elecNormNew,OBASHTMB,,77.68690807799443,45303.0,299.2489929199219,0.019363003144134406,841.3520975007892,4,MB-D,179.0,151.38898065439085,0.179
5,elecNormNew,LBagMB,,90.3738062755798,37849.0,599.2949829101562,0.04587480688025732,1697.496259738007,4,MB-D,1079.0,63.15587662056927,1.079
12,elecNormNew,ARFMB,,89.13873873873874,28634.0,599.281982421875,0.06061849866396946,1702.4611380852284,4,MB-D,1331.0,47.78051207927456,1.331
14,covtypeNorm,SRPMB,,82.36144578313252,6447.0,599.2069702148438,0.2832086610103921,1787.679398808691,4,MB-D,2029.0,10.759220637384189,2.029
23,covtypeNorm,OBMB,,81.95839004472097,128916.0,599.291015625,0.014325253248829368,1808.4040665336277,4,MB-D,253.0,215.11418766315666,0.253
2,covtypeNorm,OBAdwinMB,,79.3598615916955,29109.0,599.2630004882812,0.06136885051239196,1749.2074448129406,4,MB-D,667.0,48.574665841678694,0.667
0,covtypeNorm,OBASHTMB,,81.28810492989598,112194.0,599.3560180664062,0.015598636234247449,1711.1207513068703,4,MB-D,453.0,187.19091260975603,0.453
17,covtypeNorm,LBagMB,,82.39422084623324,26298.0,599.2620239257812,0.06746328970872997,1734.389030513159,4,MB-D,1755.0,43.88397553998352,1.755
19,covtypeNorm,ARFMB,,81.35041171088746,27451.0,599.3250122070312,0.06360450804241129,1712.6446424148473,4,MB-D,508.0,45.80319432841776,0.508
8,airlines,SRPMB,,66.3108504398827,9689.0,599.2249755859375,0.20499514969962945,1944.7376655530195,4,MB-D,6984.0,16.169219232769542,6.984
21,airlines,OBMB,,62.98322995635194,219517.0,599.3980102539062,0.009503578784660861,2039.9060247609411,4,MB-D,330.0,366.2291102818512,0.33
4,airlines,OBAdwinMB,,64.86979166666667,19931.0,599.2269897460938,0.08968492383714774,1747.3480692858288,4,MB-D,2597.0,33.26118539561314,2.597
3,airlines,OBASHTMB,,64.2468157373337,88904.0,599.4840087890625,0.02176099045062792,1891.9823821275806,4,MB-D,374.0,148.30086990907913,0.374
7,airlines,LBagMB,,61.08067542213884,14096.0,599.2219848632812,0.15162777797751423,2089.3053966346156,4,MB-D,3011.0,23.523836501453047,3.011
11,airlines,ARFMB,,66.08928571428572,6373.0,599.1890258789062,0.281107955010222,1753.999570949966,4,MB-D,5665.0,10.636042592155148,5.665
9,GMSC,SRPMB,,93.5646551724138,23537.0,599.2540283203125,0.07986782143193602,1840.6977676059885,4,MB-D,1242.0,39.27716608926829,1.242
10,GMSC,OBMB,,93.3661806602983,149985.0,546.3980102539062,0.010895769444931291,1594.5084113092705,4,MB-D,155.0,274.4977053088157,0.155
18,GMSC,OBAdwinMB,,93.35455764075068,149833.0,445.4419860839844,0.009062890663954538,1320.686953897915,4,MB-D,264.0,336.36927968382,0.264
16,GMSC,OBASHTMB,,93.35828877005348,149978.0,251.2250061035156,0.0056142404372725024,798.243806004225,4,MB-D,153.0,596.986750348421,0.153
1,GMSC,LBagMB,,93.30397727272728,71285.0,599.3410034179688,0.02466321505320717,1718.9425412056348,4,MB-D,595.0,118.93896728818873,0.595
20,GMSC,ARFMB,,93.47406082289802,57025.0,599.551025390625,0.030986775469414734,1733.9102703447563,4,MB-D,1088.0,95.11283874937341,1.088
13,elecNormNew,SRPMB,,91.0096463022508,16190.0,599.6329956054688,0.10813813485298052,1718.1854446286402,4,MB-D,2089.0,26.99984843838094,2.089
22,elecNormNew,OBMB,,77.32075471698113,45298.0,225.1569976806641,0.01493140515470163,639.864770152957,4,MB-D,139.0,201.18406474865728,0.139
15,elecNormNew,OBAdwinMB,,84.32240133407448,45294.0,448.2969970703125,0.02854417486013838,1254.5328075088755,4,MB-D,302.0,101.03569797701752,0.302
6,elecNormNew,OBASHTMB,,74.74613686534217,45301.0,175.28599548339844,0.012057593709445242,506.58677759003217,4,MB-D,54.0,258.440498198788,0.054
5,elecNormNew,LBagMB,,90.0946035976016,38359.0,599.2750244140625,0.046544775430120235,1745.4359625106053,4,MB-D,990.0,64.00900828047236,0.99
12,elecNormNew,ARFMB,,89.07067137809187,29933.0,599.2780151367188,0.057934126081824716,1700.8728202750588,4,MB-D,1825.0,49.94843669206038,1.825
14,covtypeNorm,SRPMB,,82.48314606741573,9512.0,599.2319946289062,0.19154355389803937,1783.951133964587,4,MB-D,2610.0,15.873651749671032,2.61
23,covtypeNorm,OBMB,,81.24937712344281,110881.0,599.3150024414062,0.01621111475712354,1757.375991774339,4,MB-D,154.0,185.012888962079,0.154
2,covtypeNorm,OBAdwinMB,,79.85111662531017,30815.0,599.2849731445312,0.05711320714784583,1723.3785622638202,4,MB-D,666.0,51.419610670879045,0.666
0,covtypeNorm,OBASHTMB,,81.16142781033564,94999.0,599.3209838867188,0.019084986974240246,1772.5965957572305,4,MB-D,568.0,158.51105259807878,0.568
17,covtypeNorm,LBagMB,,79.55061728395061,21077.0,599.3660278320312,0.08343244346252922,1719.394001470367,4,MB-D,2233.0,35.16548990311927,2.233
19,covtypeNorm,ARFMB,,82.40871021775544,30069.0,599.3070068359375,0.059029214657467494,1740.9814165008045,4,MB-D,878.0,50.17294918467639,0.878
8,airlines,SRPMB,,66.54135338345864,7257.0,600.2839965820312,0.26345646077048684,1875.3024437192776,4,MB-D,6654.0,12.089277810704223,6.654
